Date,Open,High,Low,Close,Adj Close
2025-01-02,240.9199981689453,243.27999877929688,239.4499969482422,240.0,233.96937561035156
2025-01-03,243.88999938964844,244.8800048828125,240.25999450683594,243.27999877929688,237.1669921875
2025-01-06,243.6999969482422,245.69000244140625,240.5800018310547,240.85000610351562,236.01068115234375
2025-01-07,242.13999938964844,245.25999450683594,240.89999389648438,243.1699981689453,238.2840576171875
2025-01-08,242.75,244.25,240.5,243.1300048828125,238.244873046875
2025-01-10,243.08999633789062,243.80999755859375,238.74000549316406,239.8699951171875,235.05035400390625
2025-01-13,239.6699981689453,244.5399932861328,239.0,244.2100067138672,239.3031768798828
2025-01-14,242.66000366210938,247.72000122070312,242.19000244140625,247.47000122070312,242.49766540527344
2025-01-15,250.39999389648438,253.6699981689453,243.67999267578125,252.35000610351562,247.27963256835938
2025-01-16,254.0,257.0400085449219,252.3300018310547,254.27000427246094,249.16104125976562
2025-01-17,254.13999938964844,260.6199951171875,252.13999938964844,259.1600036621094,253.95278930664062
2025-01-21,260.07000732421875,264.25,259.5,263.0299987792969,257.7449951171875
2025-01-22,262.8999938964844,263.3800048828125,260.25,262.8399963378906,257.558837890625
2025-01-23,264.69000244140625,266.8599853515625,263.80999755859375,265.95001220703125,260.6063537597656
2025-01-24,263.69000244140625,267.1000061035156,263.010009765625,264.8399963378906,259.5186767578125
2025-01-27,264.1700134277344,265.9700012207031,262.260009765625,265.8500061035156,260.50836181640625
2025-01-28,265.8500061035156,267.3299865722656,264.8299865722656,267.1400146484375,261.7724609375
2025-01-29,267.2099914550781,270.67999267578125,265.6099853515625,266.5799865722656,261.2236633300781
2025-01-30,268.6300048828125,269.70001220703125,266.6199951171875,268.2300109863281,262.840576171875
2025-01-31,269.2300109863281,270.82000732421875,266.9599914550781,267.29998779296875,261.92919921875
2025-02-03,261.8299865722656,268.1700134277344,261.70001220703125,266.80999755859375,261.4490661621094
2025-02-04,269.8399963378906,269.8399963378906,266.8299865722656,267.94000244140625,262.556396484375
2025-02-05,268.9100036621094,270.6400146484375,268.3299865722656,270.42999267578125,264.9963073730469
2025-02-06,272.45001220703125,276.9800109863281,271.19000244140625,276.8999938964844,271.3363342285156
2025-02-07,277.2699890136719,278.54998779296875,274.7099914550781,275.79998779296875,270.2584533691406
2025-02-10,276.1499938964844,276.17999267578125,269.5899963378906,271.0400085449219,265.5941162109375
2025-02-11,270.260009765625,276.2200012207031,269.6600036621094,274.989990234375,269.4647216796875
2025-02-12,274.0799865722656,276.45001220703125,273.25,275.45001220703125,269.91552734375
2025-02-13,275.5,276.9700012207031,273.80999755859375,276.32000732421875,270.76800537109375
2025-02-14,277.3699951171875,279.2300109863281,276.45001220703125,276.5899963378906,271.0325622558594
2025-02-18,276.760009765625,279.9700012207031,276.0199890136719,279.95001220703125,274.3251037597656
2025-02-19,278.3800048828125,280.25,277.2200012207031,279.25,273.6391296386719
2025-02-20,278.67999267578125,278.739990234375,265.739990234375,266.79998779296875,261.43927001953125
2025-02-21,268.32000732421875,269.20001220703125,262.8399963378906,264.239990234375,258.9306945800781
2025-02-24,265.489990234375,267.0,258.6099853515625,261.3399963378906,256.0889892578125
2025-02-25,262.2300109863281,263.0,253.35000610351562,257.3999938964844,252.2281494140625
2025-02-26,257.1600036621094,260.9100036621094,256.92999267578125,258.7900085449219,253.5902099609375
2025-02-27,260.17999267578125,263.6400146484375,257.8599853515625,259.04998779296875,253.84495544433594
2025-02-28,260.7300109863281,264.80999755859375,257.8900146484375,264.6499938964844,259.3324890136719
2025-03-03,264.0,266.32000732421875,257.82000732421875,260.6199951171875,255.3834686279297
2025-03-04,255.27999877929688,257.2300109863281,245.9499969482422,250.25,245.22181701660156
2025-03-05,251.25,253.0500030517578,247.8300018310547,251.52999877929688,246.47610473632812
2025-03-06,248.11000061035156,249.36000061035156,243.85000610351562,246.5399932861328,241.58633422851562
2025-03-07,245.22999572753906,246.72000122070312,239.4199981689453,242.27999877929688,237.41195678710938
2025-03-10,236.2100067138672,237.50999450683594,228.6999969482422,232.22000122070312,227.5540771484375
2025-03-11,231.75,233.32000732421875,226.69000244140625,229.13999938964844,224.5359649658203
2025-03-12,234.0,234.32000732421875,227.25999450683594,227.89999389648438,223.32086181640625
2025-03-13,229.3000030517578,229.5,224.22999572753906,225.19000244140625,220.66534423828125
2025-03-14,228.1199951171875,233.13999938964844,227.5800018310547,232.44000244140625,227.76966857910156
2025-03-17,231.17999267578125,235.6699981689453,230.4600067138672,233.92999267578125,229.229736328125
2025-03-18,234.32000732421875,236.1699981689453,233.52000427246094,234.97000122070312,230.24880981445312
2025-03-19,235.74000549316406,242.3300018310547,234.88999938964844,239.11000061035156,234.30564880371094
