Date,Open,High,Low,Close,Adj Close
2025-01-02,42660.08984375,42905.08984375,42174.80078125,42392.26953125,42392.26953125
2025-01-03,42495.76171875,42782.76171875,42436.921875,42732.12890625,42732.12890625
2025-01-06,42835.51953125,43115.30859375,42611.16015625,42706.55859375,42706.55859375
2025-01-07,42809.7109375,42931.5390625,42380.75,42528.359375,42528.359375
2025-01-08,42542.1015625,42656.21875,42327.7890625,42635.19921875,42635.19921875
2025-01-10,42540.2890625,42540.2890625,41877.30078125,41938.44921875,41938.44921875
2025-01-13,41924.6796875,42319.6015625,41844.890625,42297.12109375,42297.12109375
2025-01-14,42366.421875,42544.5703125,42157.03125,42518.28125,42518.28125
2025-01-15,42927.76171875,43323.48828125,42927.76171875,43221.55078125,43221.55078125
2025-01-16,43290.25,43294.80859375,43081.75,43153.12890625,43153.12890625
2025-01-17,43312.55078125,43653.25,43312.55078125,43487.828125,43487.828125
2025-01-21,43528.6484375,44050.12890625,43528.6484375,44025.80859375,44025.80859375
2025-01-22,44178.05859375,44208.33984375,44042.109375,44156.73046875,44156.73046875
2025-01-23,44113.55078125,44565.26171875,44113.55078125,44565.0703125,44565.0703125
2025-01-24,44533.75,44545.51953125,44332.21875,44424.25,44424.25
2025-01-27,44148.83984375,44727.8515625,44026.26953125,44713.578125,44713.578125
2025-01-28,44756.359375,44976.3515625,44621.9609375,44850.3515625,44850.3515625
2025-01-29,44819.55078125,44962.578125,44579.1015625,44713.51953125,44713.51953125
2025-01-30,44548.69140625,45008.75,44548.69140625,44882.12890625,44882.12890625
2025-01-31,45054.359375,45054.359375,44507.21875,44544.66015625,44544.66015625
2025-02-03,44268.1484375,44594.5390625,43879.05859375,44421.91015625,44421.91015625
2025-02-04,44469.4609375,44597.7109375,44328.51953125,44556.0390625,44556.0390625
2025-02-05,44563.62890625,44886.87890625,44352.98828125,44873.28125,44873.28125
2025-02-06,44949.19140625,44966.62890625,44545.26953125,44747.62890625,44747.62890625
2025-02-07,44762.5703125,44857.109375,44279.78125,44303.3984375,44303.3984375
2025-02-10,44396.921875,44622.19140625,44301.421875,44470.41015625,44470.41015625
2025-02-11,44401.37890625,44640.6015625,44319.51171875,44593.6484375,44593.6484375
2025-02-12,44357.69921875,44467.2109375,44104.48046875,44368.55859375,44368.55859375
2025-02-13,44425.94140625,44768.26171875,44366.62109375,44711.4296875,44711.4296875
2025-02-14,44720.98828125,44769.05078125,44498.9609375,44546.078125,44546.078125
2025-02-18,44583.91015625,44602.01953125,44319.3203125,44556.33984375,44556.33984375
2025-02-19,44478.12109375,44636.19140625,44312.6484375,44627.58984375,44627.58984375
2025-02-20,44561.109375,44561.109375,43950.16015625,44176.6484375,44176.6484375
2025-02-21,43820.12890625,43959.73046875,43349.328125,43428.01953125,43428.01953125
2025-02-24,43493.12109375,43699.1484375,43343.671875,43461.2109375,43461.2109375
2025-02-25,43509.73828125,43767.73828125,43282.98046875,43621.16015625,43621.16015625
2025-02-26,43635.421875,43866.5,43318.9296875,43433.12109375,43433.12109375
2025-02-27,43516.44140625,43884.19140625,43224.53125,43239.5,43239.5
2025-02-28,43259.83984375,43873.55078125,43100.87109375,43840.91015625,43840.91015625
2025-03-03,43900.48828125,44033.78125,42919.30859375,43191.23828125,43191.23828125
2025-03-04,43040.30078125,43084.0,42347.75,42520.98828125,42520.98828125
2025-03-05,42518.37109375,43135.921875,42418.73046875,43006.58984375,43006.58984375
2025-03-06,42848.48828125,42970.48828125,42381.55859375,42579.078125,42579.078125
2025-03-07,42503.0703125,42898.6796875,42175.62109375,42801.71875,42801.71875
2025-03-10,42507.6484375,42541.359375,41612.921875,41911.7109375,41911.7109375
2025-03-11,41837.94921875,41868.26953125,41175.37109375,41433.48046875,41433.48046875
2025-03-12,41577.5,41721.359375,41010.23828125,41350.9296875,41350.9296875
2025-03-13,41280.05078125,41360.12109375,40661.76953125,40813.5703125,40813.5703125
2025-03-14,41057.5703125,41528.109375,40929.5390625,41488.19140625,41488.19140625
2025-03-17,41460.21875,42013.1015625,41412.75,41841.62890625,41841.62890625
2025-03-18,41772.91015625,41787.25,41415.4296875,41581.30859375,41581.30859375
2025-03-19,41613.19140625,42178.41015625,41613.19140625,41964.62890625,41964.62890625
2025-03-20,41795.26171875,42250.2890625,41695.609375,41953.3203125,41953.3203125
2025-03-21,41763.3984375,42011.3984375,41433.859375,41985.3515625,41985.3515625
2025-03-24,42180.140625,42638.8515625,42180.140625,42583.3203125,42583.3203125
2025-03-25,42635.5390625,42696.609375,42441.828125,42587.5,42587.5
2025-03-26,42655.8515625,42821.828125,42326.671875,42454.7890625,42454.7890625
2025-03-27,42432.9609375,42523.83984375,42142.19140625,42299.69921875,42299.69921875
2025-03-28,42245.8203125,42258.1484375,41530.0,41583.8984375,41583.8984375
2025-03-31,41382.51953125,42147.37890625,41148.12890625,42001.76171875,42001.76171875
2025-04-01,41879.75,42140.66015625,41519.8984375,41989.9609375,41989.9609375
2025-04-02,41736.078125,42382.26953125,41629.69921875,42225.3203125,42225.3203125
2025-04-03,40986.51953125,41173.62109375,40513.109375,40545.9296875,40545.9296875
2025-04-04,40097.8984375,40097.8984375,38264.87109375,38314.859375,38314.859375
2025-04-07,37879.6484375,39207.01953125,36611.78125,37965.6015625,37965.6015625
2025-04-08,38827.1015625,39426.6015625,37103.859375,37645.58984375,37645.58984375
2025-04-09,37387.91015625,40778.69921875,37275.69140625,40608.44921875,40608.44921875
2025-04-10,39996.9296875,39996.9296875,38427.69921875,39593.66015625,39593.66015625
2025-04-11,39493.421875,40404.26953125,39255.2109375,40212.7109375,40212.7109375
2025-04-14,40546.1484375,40778.2890625,40159.01953125,40524.7890625,40524.7890625
2025-04-15,40527.8203125,40791.1796875,40346.94140625,40368.9609375,40368.9609375
2025-04-16,40179.48828125,40416.80078125,39394.75,39669.390625,39669.390625
2025-04-17,39745.578125,39745.578125,38950.30859375,39142.23046875,39142.23046875
2025-04-21,38906.0390625,38906.0390625,37830.66015625,38170.41015625,38170.41015625
2025-04-22,38516.23046875,39272.03125,38516.23046875,39186.98046875,39186.98046875
2025-04-23,39815.01171875,40376.109375,39487.140625,39606.5703125,39606.5703125
2025-04-24,39531.05078125,40157.91015625,39371.87109375,40093.3984375,40093.3984375
2025-04-25,40045.73046875,40137.30859375,39718.6796875,40113.5,40113.5
2025-04-28,40171.73828125,40414.1796875,39869.1015625,40227.58984375,40227.58984375
2025-04-29,40233.98046875,40630.48828125,40222.1796875,40527.62109375,40527.62109375
2025-04-30,40290.41015625,40777.16015625,39745.62890625,40669.359375,40669.359375
2025-05-01,40918.0390625,41099.51953125,40705.62890625,40752.9609375,40752.9609375
2025-05-02,40960.421875,41386.19140625,40960.421875,41317.4296875,41317.4296875
2025-05-05,41173.37890625,41445.91015625,41063.44140625,41218.828125,41218.828125
2025-05-06,41000.19140625,41164.328125,40759.41015625,40829.0,40829.0
2025-05-07,40956.078125,41266.91015625,40829.2890625,41113.96875,41113.96875
2025-05-08,41312.5703125,41773.21875,41167.76171875,41368.44921875,41368.44921875
2025-05-09,41405.48046875,41512.4296875,41150.73046875,41249.37890625,41249.37890625
2025-05-12,41899.05078125,42418.05078125,41899.05078125,42410.1015625,42410.1015625
2025-05-13,42507.328125,42507.328125,42132.0390625,42140.4296875,42140.4296875
2025-05-14,42150.08984375,42254.75,41952.859375,42051.05859375,42051.05859375
2025-05-15,41777.98046875,42351.421875,41777.98046875,42322.75,42322.75
2025-05-16,42356.19921875,42663.6796875,42232.55859375,42654.73828125,42654.73828125
2025-05-19,42542.80859375,42842.0390625,42337.7109375,42792.0703125,42792.0703125
2025-05-20,42735.109375,42800.0390625,42485.37109375,42677.23828125,42677.23828125
2025-05-21,42354.4609375,42439.26953125,41785.21875,41860.44140625,41860.44140625
2025-05-22,41763.6796875,42090.421875,41714.4296875,41859.08984375,41859.08984375
2025-05-23,41525.69921875,41788.609375,41354.08984375,41603.0703125,41603.0703125
2025-05-27,41849.0390625,42350.66015625,41849.0390625,42343.6484375,42343.6484375
2025-05-28,42361.62890625,42448.71875,42042.26171875,42098.69921875,42098.69921875
2025-05-29,42190.01953125,42266.0,41828.3515625,42215.73046875,42215.73046875
2025-05-30,42192.3515625,42376.078125,41906.16015625,42270.0703125,42270.0703125
2025-06-02,42199.94140625,42317.0,41853.62109375,42305.48046875,42305.48046875
2025-06-03,42304.5,42568.37890625,42186.44140625,42519.640625,42519.640625
2025-06-04,42574.12890625,42645.0,42427.73828125,42427.73828125,42427.73828125
2025-06-05,42487.890625,42601.44921875,42211.69140625,42319.73828125,42319.73828125
2025-06-06,42631.8203125,42924.55859375,42582.55078125,42762.87109375,42762.87109375
2025-06-09,42786.19140625,42893.08984375,42567.55078125,42761.76171875,42761.76171875
2025-06-10,42738.26953125,42925.94140625,42710.08984375,42866.87109375,42866.87109375
2025-06-11,42882.859375,43115.69140625,42738.62109375,42865.76953125,42865.76953125
2025-06-12,42737.359375,42970.3984375,42606.421875,42967.62109375,42967.62109375
2025-06-13,42579.48046875,42602.48046875,42081.08984375,42197.7890625,42197.7890625
2025-06-16,42300.12890625,42707.73046875,42300.12890625,42515.08984375,42515.08984375
2025-06-17,42358.62109375,42530.828125,42132.6484375,42215.80078125,42215.80078125
2025-06-18,42236.03125,42510.0703125,42118.23046875,42171.66015625,42171.66015625
2025-06-20,42291.08984375,42432.19140625,42089.98828125,42206.8203125,42206.8203125
2025-06-23,42178.55078125,42609.46875,41981.140625,42581.78125,42581.78125
2025-06-24,42807.12890625,43183.48046875,42794.078125,43089.01953125,43089.01953125
2025-06-25,43130.328125,43130.328125,42871.5,42982.4296875,42982.4296875
2025-06-26,43084.0703125,43430.98828125,43084.0703125,43386.83984375,43386.83984375
2025-06-27,43505.6015625,43966.37109375,43505.6015625,43819.26953125,43819.26953125
2025-06-30,44020.66015625,44138.69140625,43889.16015625,44094.76953125,44094.76953125
2025-07-01,44061.48828125,44604.1484375,44013.5390625,44494.94140625,44494.94140625
2025-07-02,44455.66015625,44557.8203125,44354.01171875,44484.421875,44484.421875
2025-07-03,44565.75,44885.828125,44550.421875,44828.53125,44828.53125
2025-07-07,44803.359375,44803.359375,44160.3203125,44406.359375,44406.359375
2025-07-08,44378.578125,44436.9609375,44201.37109375,44240.76171875,44240.76171875
2025-07-09,44327.12890625,44556.6796875,44225.87890625,44458.30078125,44458.30078125
2025-07-10,44427.75,44775.46875,44372.921875,44650.640625,44650.640625
2025-07-11,44480.76953125,44480.76953125,44275.25,44371.51171875,44371.51171875
2025-07-14,44346.1484375,44472.12890625,44237.28125,44459.6484375,44459.6484375
2025-07-15,44459.83984375,44504.26953125,44002.390625,44023.2890625,44023.2890625
2025-07-16,44152.73828125,44260.19140625,43758.98046875,44254.78125,44254.78125
2025-07-17,44229.87890625,44558.05078125,44200.0390625,44484.48828125,44484.48828125
2025-07-18,44571.6796875,44571.6796875,44224.58984375,44342.19140625,44342.19140625
2025-07-21,44368.3984375,44601.8515625,44311.421875,44323.0703125,44323.0703125
